Frequenz (MHz), Kapazität (pF), Induktivität (muH)
0.5, 1100, 447
0.6, 1100, 308.75
0.7, 1100, 214.75
0.8, 1300, 162.75
0.9, 1300, 126.25
1.0, 1300, 101.5
1.1, 1300, 84
1.2, 1300, 70.5
1.3, 1300, 60
1.4, 1300, 51.25
1.5, 1300, 45.5
1.6, 1300, 39.5
1.7, 1300, 34.5
1.8, 1300, 31.25
1.9, 1300, 28
2.0, 1300, 25.25
2.1, 1300, 22.25
2.2, 1300, 20.25
2.3, 1300, 18.25
2.4, 1300, 16.75
2.5, 1500, 15.75
2.6, 1700, 14.5
2.7, 1700, 13.5
2.8, 1700, 12.5
2.9, 1700, 11.5
3.0, 1500, 10.75
