# Trace data for Lens 2 voltage [V]
# Value	Current_nA
0.000000	0.360575
0.100000	0.445918
0.200000	0.384090
0.300000	0.369601
0.400000	0.370891
0.500000	0.406672
0.600000	0.346666
0.700000	0.437977
0.800000	0.376257
0.900000	0.351113
1.000000	0.372073
1.100000	0.313321
1.200000	0.317320
1.300000	0.307421
1.400000	0.377231
1.500000	0.402225
1.600000	0.399759
1.700000	0.394419
1.800000	0.412473
1.900000	0.385122
2.000000	0.368916
2.100000	0.436901
2.200000	0.440616
2.300000	0.374867
2.400000	0.359182
2.500000	0.351371
2.600000	0.345628
2.700000	0.313742
2.800000	0.279153
2.900000	0.280242
3.000000	0.288680
3.100000	0.285246
3.200000	0.278111
3.300000	0.206012
3.400000	0.268865
3.500000	0.303996
3.600000	0.322962
3.700000	0.361478
3.800000	0.316763
3.900000	0.306856
4.000000	0.318571
4.100000	0.295180
4.200000	0.263783
4.300000	0.222065
4.400000	0.267989
4.500000	0.249243
4.600000	0.199796
4.700000	0.205661
4.800000	0.167113
4.900000	0.221076
5.000000	0.215672
5.100000	0.214429
5.200000	0.261949
5.300000	0.257318
5.400000	0.192587
5.500000	0.240817
5.600000	0.271650
5.700000	0.260559
5.800000	0.294290
5.900000	0.325299
6.000000	0.355903
6.100000	0.339503
6.200000	0.358206
6.300000	0.399844
6.400000	0.346263
6.500000	0.334682
6.600000	0.330709
6.700000	0.297414
6.800000	0.296773
6.900000	0.286803
7.000000	0.325557
7.100000	0.319609
7.200000	0.295176
7.300000	0.323879
7.400000	0.336729
7.500000	0.336521
7.600000	0.344518
7.700000	0.347375
7.800000	0.406298
7.900000	0.407308
8.000000	0.449223
8.100000	0.418117
8.200000	0.390887
8.300000	0.464679
8.400000	0.440861
8.500000	0.416427
8.600000	0.382628
8.700000	0.414938
8.800000	0.418896
8.900000	0.473957
9.000000	0.414611
9.100000	0.350428
9.200000	0.298632
9.300000	0.345578
9.400000	0.275399
9.500000	0.238134
9.600000	0.308367
9.700000	0.274233
9.800000	0.241252
9.900000	0.241889
10.000000	0.241954
